^^^04:21:56|WARNING|pp||1-exec|skywalker||Collecting Odysseus flight recording^^^
^^^04:22:05|INFO|pp||2-rundeck-jobref:1-script|badaboum||Odysseus_BE_1^^^
^^^04:22:05|INFO|pp||2-rundeck-jobref:1-script|badaboum||25340^^^
^^^04:22:06|INFO|pp||2-rundeck-jobref:1-script|podboudin||Odysseus_BE_1^^^
^^^04:22:06|INFO|pp||2-rundeck-jobref:1-script|podboudin||Odysseus_BE_2^^^
^^^04:22:06|INFO|pp||2-rundeck-jobref:1-script|podboudin||16338^^^
^^^04:22:10|INFO|pp||2-rundeck-jobref:1-script|badaboum||25340:^^^
^^^04:22:15|INFO|pp||2-rundeck-jobref:1-script|podboudin||16338:^^^
^^^04:22:19|INFO|pp||2-rundeck-jobref:1-script|badaboum||Odysseus_BE_2^^^
^^^END^^^
