^^^10:40:02|WARNING|pp||1-exec|skywalker||Collecting Odysseus flight recording^^^
^^^10:40:09|INFO|pp||2-rundeck-jobref:1-script|badaboum||Odysseus_BE_1^^^
^^^10:40:09|INFO|pp||2-rundeck-jobref:1-script|badaboum||25340^^^
^^^10:40:09|INFO|pp||2-rundeck-jobref:1-script|podboudin||Odysseus_BE_1^^^
^^^10:40:09|INFO|pp||2-rundeck-jobref:1-script|podboudin||Odysseus_BE_2^^^
^^^10:40:09|INFO|pp||2-rundeck-jobref:1-script|podboudin||16338^^^
^^^10:40:13|INFO|pp||2-rundeck-jobref:1-script|badaboum||25340:^^^
^^^10:40:15|INFO|pp||2-rundeck-jobref:1-script|podboudin||16338:^^^
^^^10:40:18|INFO|pp||2-rundeck-jobref:1-script|badaboum||Odysseus_BE_2^^^
^^^END^^^
