^^^12:41:53|WARNING|pp||1-exec|skywalker||Collecting Odysseus flight recording^^^
^^^12:42:00|INFO|pp||2-rundeck-jobref:1-script|badaboum||Odysseus_BE_1^^^
^^^12:42:00|INFO|pp||2-rundeck-jobref:1-script|badaboum||25340^^^
^^^12:42:00|INFO|pp||2-rundeck-jobref:1-script|podboudin||Odysseus_BE_1^^^
^^^12:42:00|INFO|pp||2-rundeck-jobref:1-script|podboudin||Odysseus_BE_2^^^
^^^12:42:00|INFO|pp||2-rundeck-jobref:1-script|podboudin||16338^^^
^^^12:42:05|INFO|pp||2-rundeck-jobref:1-script|badaboum||25340:^^^
^^^12:42:07|INFO|pp||2-rundeck-jobref:1-script|podboudin||16338:^^^
^^^12:42:10|INFO|pp||2-rundeck-jobref:1-script|badaboum||Odysseus_BE_2^^^
^^^END^^^
