^^^01:06:20|WARNING|pp||1-exec|skywalker||Collecting Odysseus flight recording^^^
^^^01:06:28|INFO|pp||2-rundeck-jobref:1-script|podboudin||Odysseus_BE_1^^^
^^^01:06:28|INFO|pp||2-rundeck-jobref:1-script|podboudin||Odysseus_BE_2^^^
^^^01:06:28|INFO|pp||2-rundeck-jobref:1-script|podboudin||16338^^^
^^^01:06:28|INFO|pp||2-rundeck-jobref:1-script|badaboum||Odysseus_BE_1^^^
^^^01:06:28|INFO|pp||2-rundeck-jobref:1-script|badaboum||25340^^^
^^^01:06:33|INFO|pp||2-rundeck-jobref:1-script|badaboum||25340:^^^
^^^01:06:34|INFO|pp||2-rundeck-jobref:1-script|podboudin||16338:^^^
^^^01:06:37|INFO|pp||2-rundeck-jobref:1-script|badaboum||Odysseus_BE_2^^^
^^^END^^^
