^^^09:46:52|WARNING|pp||1-exec|skywalker||Collecting Odysseus flight recording^^^
^^^09:47:02|INFO|pp||2-rundeck-jobref:1-script|badaboum||Odysseus_BE_1^^^
^^^09:47:02|INFO|pp||2-rundeck-jobref:1-script|badaboum||25340^^^
^^^09:47:02|INFO|pp||2-rundeck-jobref:1-script|podboudin||Odysseus_BE_1^^^
^^^09:47:02|INFO|pp||2-rundeck-jobref:1-script|podboudin||Odysseus_BE_2^^^
^^^09:47:02|INFO|pp||2-rundeck-jobref:1-script|podboudin||16338^^^
^^^09:47:06|INFO|pp||2-rundeck-jobref:1-script|badaboum||25340:^^^
^^^09:47:08|INFO|pp||2-rundeck-jobref:1-script|podboudin||16338:^^^
^^^09:47:11|INFO|pp||2-rundeck-jobref:1-script|badaboum||Odysseus_BE_2^^^
^^^END^^^
