^^^02:02:59|WARNING|pp||1-exec|skywalker||Collecting Odysseus flight recording^^^
^^^02:03:19|INFO|pp||2-rundeck-jobref:1-script|podboudin||Odysseus_BE_1^^^
^^^02:03:19|INFO|pp||2-rundeck-jobref:1-script|podboudin||Odysseus_BE_2^^^
^^^02:03:19|INFO|pp||2-rundeck-jobref:1-script|podboudin||22550^^^
^^^02:03:25|INFO|pp||2-rundeck-jobref:1-script|podboudin||22550:^^^
^^^02:03:29|INFO|pp||2-rundeck-jobref:1-script|badaboum||Odysseus_BE_1^^^
^^^02:03:29|INFO|pp||2-rundeck-jobref:1-script|badaboum||25340^^^
^^^02:03:34|INFO|pp||2-rundeck-jobref:1-script|badaboum||25340:^^^
^^^02:03:40|INFO|pp||2-rundeck-jobref:1-script|badaboum||Odysseus_BE_2^^^
^^^END^^^
