^^^01:09:45|WARNING|pp||1-exec|skywalker||Collecting Odysseus flight recording^^^
^^^01:09:53|INFO|pp||2-rundeck-jobref:1-script|podboudin||Odysseus_BE_1^^^
^^^01:09:53|INFO|pp||2-rundeck-jobref:1-script|podboudin||Odysseus_BE_2^^^
^^^01:09:53|INFO|pp||2-rundeck-jobref:1-script|podboudin||16338^^^
^^^01:09:53|INFO|pp||2-rundeck-jobref:1-script|badaboum||Odysseus_BE_1^^^
^^^01:09:53|INFO|pp||2-rundeck-jobref:1-script|badaboum||25340^^^
^^^01:09:59|INFO|pp||2-rundeck-jobref:1-script|badaboum||25340:^^^
^^^01:09:59|INFO|pp||2-rundeck-jobref:1-script|podboudin||16338:^^^
^^^01:10:05|INFO|pp||2-rundeck-jobref:1-script|badaboum||Odysseus_BE_2^^^
^^^END^^^
