^^^01:04:12|WARNING|pp||1-exec|skywalker||Collecting Odysseus flight recording^^^
^^^01:04:19|INFO|pp||2-rundeck-jobref:1-script|podboudin||Odysseus_BE_1^^^
^^^01:04:19|INFO|pp||2-rundeck-jobref:1-script|podboudin||Odysseus_BE_2^^^
^^^01:04:19|INFO|pp||2-rundeck-jobref:1-script|podboudin||16338^^^
^^^01:04:19|INFO|pp||2-rundeck-jobref:1-script|badaboum||Odysseus_BE_1^^^
^^^01:04:19|INFO|pp||2-rundeck-jobref:1-script|badaboum||25340^^^
^^^01:04:24|INFO|pp||2-rundeck-jobref:1-script|badaboum||25340:^^^
^^^01:04:25|INFO|pp||2-rundeck-jobref:1-script|podboudin||16338:^^^
^^^01:04:29|INFO|pp||2-rundeck-jobref:1-script|badaboum||Odysseus_BE_2^^^
^^^END^^^
