^^^10:20:39|WARNING|pp||1-exec|skywalker||Collecting Odysseus flight recording^^^
^^^10:20:45|INFO|pp||2-rundeck-jobref:1-script|podboudin||Odysseus_BE_1^^^
^^^10:20:45|INFO|pp||2-rundeck-jobref:1-script|podboudin||Odysseus_BE_2^^^
^^^10:20:45|INFO|pp||2-rundeck-jobref:1-script|podboudin||16338^^^
^^^10:20:45|INFO|pp||2-rundeck-jobref:1-script|badaboum||Odysseus_BE_1^^^
^^^10:20:45|INFO|pp||2-rundeck-jobref:1-script|badaboum||25340^^^
^^^10:20:51|INFO|pp||2-rundeck-jobref:1-script|podboudin||16338:^^^
^^^10:20:51|INFO|pp||2-rundeck-jobref:1-script|badaboum||25340:^^^
^^^10:20:56|INFO|pp||2-rundeck-jobref:1-script|badaboum||Odysseus_BE_2^^^
^^^END^^^
